"","HUC_12","AWDBYHUC","AWD_MGAL"
"1",10100010101,0,0
"2",10100010102,0,0
"3",10100010103,0,0
"4",10100010104,0,0
"5",10100010105,0,0
"6",10100010106,0,0
"7",10100010107,0,0
"8",10100010108,0,0
"9",10100010109,0,0
"10",10100010201,0,0
"11",10100010202,0,0
"12",10100010203,0,0
"13",10100010204,0,0
"14",10100010205,0,0
"15",10100010206,0,0
"16",10100010207,0,0
"17",10100010208,0,0
"18",10100010305,0,0
"19",10100010306,0,0
"20",10100010307,0,0
"21",10100010312,0,0
"22",10100010313,0,0
"23",10100010401,0,0
"24",10100010402,0,0
"25",10100010403,0,0
"26",10100010504,0,0
"27",10100010505,0,0
"28",10100010506,0,0
"29",10100010507,0,0
"30",10100010508,0,0
"31",10100010509,0,0
"32",10100010601,0,0
"33",10100010602,0,0
"34",10100010603,0,0
"35",10100010604,0,0
"36",10100010605,0,0
"37",10100010606,0,0
"38",10100010701,0,0
"39",10100010702,0,0
"40",10100010703,0,0
"41",10100010704,0,0
"42",10100010705,0,0
"43",10100010802,0,0
"44",10100010803,0,0
"45",10100010804,0,0
"46",10100010805,0,0
"47",10100010806,0,0
"48",10100010807,0,0
"49",10100010901,0,0
"50",10100010902,0,0
"51",10100010903,0,0
"52",10100010904,0,0
"53",10100010905,0,0
"54",10100010906,0,0
"55",10100010907,0,0
"56",10100011001,0,0
"57",10100011002,0,0
"58",10100011003,0,0
"59",10100011004,0,0
"60",10100011005,0,0
"61",10100011301,0,0
"62",10100011303,0,0
"63",10100011304,0,0
"64",10100011305,0,0
"65",10100011306,0,0
"66",10100011307,0,0
"67",10100011308,0,0
"68",10100011403,0,0
"69",10100011404,0,0
"70",10100011507,0,0
"71",10100011508,0,0
"72",10100012601,4305,0.004305
"73",10100012603,0,0
"74",10100012604,0,0
"75",10100012605,2010,0.00201
"76",10100012607,3015,0.003015
"77",10100012608,45,4.5e-05
"78",10100012701,0,0
"79",10100012702,2910,0.00291
"80",10100012803,0,0
"81",10100020101,0,0
"82",10100020102,0,0
"83",10100020103,0,0
"84",10100020104,0,0
"85",10100020105,0,0
"86",10100020201,0,0
"87",10100020202,0,0
"88",10100020203,0,0
"89",10100020204,0,0
"90",10100020301,0,0
"91",10100020302,0,0
"92",10100020303,0,0
"93",10100020304,0,0
"94",10100020305,0,0
"95",10100020306,0,0
"96",10100020307,0,0
"97",10100020308,0,0
"98",10100020401,0,0
"99",10100020402,0,0
"100",10100020403,0,0
"101",10100020404,0,0
"102",10100020405,0,0
"103",10100020406,0,0
"104",10100020501,0,0
"105",10100020502,0,0
"106",10100020503,0,0
"107",10100020504,0,0
"108",10100020505,0,0
"109",10100020601,0,0
"110",10100020602,0,0
"111",10100020701,0,0
"112",10100020702,0,0
"113",10100020703,0,0
"114",10100020704,0,0
"115",10100020705,0,0
"116",10100020706,0,0
"117",10100020707,0,0
"118",10100020708,0,0
"119",10100020709,0,0
"120",10100020710,0,0
"121",10100020711,0,0
"122",10100030101,0,0
"123",10100030102,0,0
"124",10100030103,0,0
"125",10100030104,0,0
"126",10100030105,0,0
"127",10100030201,0,0
"128",10100030202,0,0
"129",10100030203,600,6e-04
"130",10100030204,0,0
"131",10100030205,0,0
"132",10100030206,0,0
"133",10100030207,0,0
"134",10100030301,8190,0.00819
"135",10100030302,21795,0.021795
"136",10100030303,0,0
"137",10100030304,13380,0.01338
"138",10100030305,0,0
"139",10100030306,0,0
"140",10100030307,0,0
"141",10100030308,0,0
"142",10100030309,0,0
"143",10100030310,0,0
"144",10100030401,0,0
"145",10100030402,0,0
"146",10100030403,2760,0.00276
"147",10100040101,0,0
"148",10100040102,0,0
"149",10100040103,0,0
"150",10100040104,0,0
"151",10100040201,0,0
"152",10100040202,0,0
"153",10100040203,0,0
"154",10100040301,0,0
"155",10100040302,0,0
"156",10100040303,0,0
"157",10100040304,0,0
"158",10100040305,0,0
"159",10100040306,0,0
"160",10100040401,0,0
"161",10100040402,0,0
"162",10100040501,0,0
"163",10100040502,0,0
"164",10100040503,0,0
"165",10100040504,0,0
"166",10100040505,0,0
"167",10100040506,0,0
"168",10100040601,0,0
"169",10100040602,0,0
"170",10100040603,0,0
"171",10100040604,0,0
"172",10100040605,0,0
"173",10100040606,45,4.5e-05
"174",10100040701,0,0
"175",10100040702,0,0
"176",10100040703,0,0
"177",10100040801,0,0
"178",10100040802,0,0
"179",10100040803,0,0
"180",10100040804,0,0
"181",10100040805,0,0
"182",10100040901,8445,0.008445
"183",10100040902,345,0.000345
"184",10100040903,0,0
"185",10100040904,0,0
"186",10100040905,0,0
"187",10100040906,0,0
"188",10100040907,0,0
"189",10100040908,0,0
"190",10100040909,3675,0.003675
"191",10100041001,36900,0.0369
"192",10100041002,0,0
"193",10100041003,0,0
"194",10100041004,0,0
"195",10100041005,0,0
"196",10100041006,0,0
"197",10100041007,21225,0.021225
"198",10100041008,10020,0.01002
"199",10100041009,317460,0.31746
"200",10100041101,43995,0.043995
"201",10100041102,47910,0.04791
"202",10100041103,0,0
"203",10100041104,0,0
"204",10100041105,0,0
"205",10100041106,2100,0.0021
"206",10100041107,21990,0.02199
"207",10100041108,1320,0.00132
"208",10100041109,158235,0.158235
"209",10100041110,19440,0.01944
"210",10100041111,13560,0.01356
"211",10100041112,119190,0.11919
"212",10100041113,354975,0.354975
"213",10100050101,10770,0.01077
"214",10100050102,34170,0.03417
"215",10100050103,7965,0.007965
"216",10100050104,7440,0.00744
"217",10100050105,6750,0.00675
"218",10100050106,4725,0.004725
"219",10100050107,825,0.000825
"220",10100050201,0,0
"221",10100050202,1245,0.001245
"222",10100050301,0,0
"223",10100050302,15210,0.01521
"224",10100050303,16755,0.016755
"225",10100050401,0,0
"226",10100050402,0,0
"227",10100050403,2595,0.002595
"228",10100050404,10035,0.010035
"229",10100050405,60,6e-05
"230",10100050406,9150,0.00915
"231",10100050407,42525,0.042525
"232",10100050408,21000,0.021
"233",10200010101,0,0
"234",10200010102,0,0
"235",10200010103,0,0
"236",10200010104,0,0
"237",10200010105,0,0
"238",10200010106,0,0
"239",10200010201,0,0
"240",10200010202,0,0
"241",10200010203,0,0
"242",10200010204,0,0
"243",10200010205,0,0
"244",10200010206,0,0
"245",10200010207,0,0
"246",10200010208,0,0
"247",10200010209,0,0
"248",10200010210,0,0
"249",10200010301,0,0
"250",10200010302,0,0
"251",10200010303,0,0
"252",10200010304,0,0
"253",10200010305,0,0
"254",10200010306,0,0
"255",10200010307,0,0
"256",10200010308,0,0
