"","HUC_12","Terrestrial_Acres","Rare_Acres","Protected_Rare_Acres","Percent_of_HUC_Rare","Percent_Rare_Area_Protected"
"1",31700090806,417,350.49,350.49,84.01,100
"2",31700090304,988,815.08,815.08,82.51,100
"3",31700090805,204,157.68,157.68,77.32,100
"4",171100060202,28593,14414.73,14414.73,50.41,100
"5",171100060201,24746,11463.55,11463.55,46.33,100
"6",170900040101,20440,8988.52,8988.52,43.97,100
"7",170200110101,13082,5530.95,5530.95,42.28,100
"8",170900040103,30724,12471.45,12471.45,40.59,100
"9",171100060104,24562,9509.6,9509.6,38.72,100
"10",171100060203,21140,8009.99,8009.99,37.89,100
"11",171100200501,17028,6307.78,6307.78,37.04,100
"12",170200090108,24712,8911.58,8911.58,36.06,100
"13",171100200504,18025,6100.51,6100.51,33.85,100
"14",171100050406,17907,5981.97,5981.97,33.41,100
"15",171001010701,29770,9729.77,9729.77,32.68,100
"16",170200090104,12121,3933.49,3933.49,32.45,100
"17",171001020404,13681,4303.34,4303.34,31.45,100
"18",171001020405,37703,11667.49,11667.49,30.95,100
"19",170200110402,15683,4526.18,4526.18,28.86,100
"20",170200090106,9981,2857.77,2857.77,28.63,100
"21",171100200502,11552,3283.43,3283.43,28.42,100
"22",171001020401,24354,6539.74,6539.74,26.85,100
"23",171100010101,26445,7027,7027,26.57,100
"24",171001020201,32940,8557.08,8557.08,25.98,100
"25",170200090105,16494,4093.17,4093.17,24.82,100
"26",171100050305,26163,6412.53,6412.53,24.51,100
"27",171100050603,15085,3518.95,3518.95,23.33,100
"28",170200090107,16054,3437.78,3437.78,21.41,100
"29",171100050701,30088,6328.68,6328.68,21.03,100
"30",171100050402,24019,5050.36,5050.36,21.03,100
"31",171100050408,17156,3354.6,3354.6,19.55,100
"32",171001010702,19601,3781.82,3781.82,19.29,100
"33",171100050301,34475,6481.47,6481.47,18.8,100
"34",170703010907,21113,3890.57,3890.57,18.43,100
"35",171100050403,26321,4799.05,4799.05,18.23,100
"36",170703010909,10920,1989.32,1989.32,18.22,100
"37",170200090110,8541,1448.9,1448.9,16.96,100
"38",170200090103,21639,3609.47,3609.47,16.68,100
"39",170200090111,17553,2922.71,2922.71,16.65,100
"40",170800040103,34587,5485.14,5485.14,15.86,100
"41",171100050404,12110,1900.36,1900.36,15.69,100
"42",170200090109,11518,1757.58,1757.58,15.26,100
"43",170200070104,9726,1475.37,1475.37,15.17,100
"44",171100150103,9842,1442.67,1442.67,14.66,100
"45",170200080103,23129,3383.73,3383.73,14.63,100
"46",171100050306,17294,2503.27,2503.27,14.47,100
"47",171100180401,30044,4131.2,4131.2,13.75,100
"48",171001010704,30922,4167.9,4167.9,13.48,100
"49",171100080102,16733,2255.08,2255.08,13.48,100
"50",170200080301,33626,4474.58,4474.58,13.31,100
"51",171100150101,8572,1136.66,1136.66,13.26,100
"52",171100050407,24823,3138.66,3138.66,12.64,100
"53",171100050303,25905,3211.38,3211.38,12.4,100
"54",171100200503,11919,1390.41,1390.41,11.67,100
"55",171100050101,10299,1029.46,1029.46,10,100
"56",171100200509,13353,1279.66,1279.66,9.58,100
"57",30203010602,2665,253.09,253.09,9.5,100
"58",171100200510,16489,1470.7,1470.7,8.92,100
"59",171100050405,14505,1286.33,1286.33,8.87,100
"60",170703010905,13070,1151.11,1151.11,8.81,100
"61",171003070201,30272,2634.93,2634.93,8.7,100
"62",180102010501,3662,313.8,313.8,8.57,100
"63",170200080101,11490,956.07,956.07,8.32,100
"64",170200110502,23595,1881.68,1881.68,7.97,100
"65",171001020203,19062,1495.16,1495.16,7.84,100
"66",170200080102,30014,2317.35,2317.35,7.72,100
"67",170800040202,11900,917.6,917.6,7.71,100
"68",170200080505,8526,636.27,636.27,7.46,100
