"","x"
"1",NA
"2",10100010101
"3",10100010102
"4",10100010103
"5",10100010104
"6",10100010105
"7",10100010106
"8",10100010107
"9",10100010108
"10",10100010109
"11",10100010201
"12",10100010202
"13",10100010203
"14",10100010204
"15",10100010205
"16",10100010206
"17",10100010207
"18",10100010208
"19",10100010301
"20",10100010302
"21",10100010303
"22",10100010304
"23",10100010305
"24",10100010306
"25",10100010307
"26",10100010308
"27",10100010309
"28",10100010310
"29",10100010311
"30",10100010312
"31",10100010313
"32",10100010401
"33",10100010402
"34",10100010403
"35",10100010501
"36",10100010502
"37",10100010503
"38",10100010504
"39",10100010505
"40",10100010506
"41",10100010507
"42",10100010508
"43",10100010509
"44",10100010601
"45",10100010602
"46",10100010603
"47",10100010604
"48",10100010605
"49",10100010606
"50",10100010701
"51",10100010702
"52",10100010703
"53",10100010704
"54",10100010705
"55",10100010801
"56",10100010802
"57",10100010803
"58",10100010804
"59",10100010805
"60",10100010806
"61",10100010807
"62",10100010901
"63",10100010902
"64",10100010903
"65",10100010904
"66",10100010905
"67",10100010906
"68",10100010907
"69",10100011001
"70",10100011002
"71",10100011003
"72",10100011004
"73",10100011005
"74",10100011101
"75",10100011102
"76",10100011103
"77",10100011104
"78",10100011105
"79",10100011201
"80",10100011202
"81",10100011203
"82",10100011301
"83",10100011302
"84",10100011303
"85",10100011304
"86",10100011305
"87",10100011306
"88",10100011307
"89",10100011308
"90",10100011401
"91",10100011402
"92",10100011403
"93",10100011404
"94",10100011501
"95",10100011502
"96",10100011503
"97",10100011504
"98",10100011505
"99",10100011506
"100",10100011507
"101",10100011508
"102",10100011601
"103",10100011602
"104",10100011603
"105",10100011701
"106",10100011702
"107",10100011703
"108",10100011704
"109",10100011705
"110",10100011706
"111",10100011801
"112",10100011802
"113",10100011803
"114",10100011804
"115",10100011805
"116",10100011806
"117",10100011807
"118",10100011808
"119",10100011809
"120",10100011810
"121",10100011901
"122",10100011902
"123",10100011903
"124",10100011904
"125",10100011905
"126",10100011906
"127",10100011907
"128",10100011908
"129",10100012001
"130",10100012002
"131",10100012003
"132",10100012004
"133",10100012101
"134",10100012102
"135",10100012103
"136",10100012201
"137",10100012202
"138",10100012203
"139",10100012204
"140",10100012205
"141",10100012206
"142",10100012207
"143",10100012208
"144",10100012209
"145",10100012301
"146",10100012302
"147",10100012303
"148",10100012304
"149",10100012401
"150",10100012402
"151",10100012403
"152",10100012404
"153",10100012405
"154",10100012406
"155",10100012501
"156",10100012502
"157",10100012503
"158",10100012504
"159",10100012601
"160",10100012602
"161",10100012603
"162",10100012604
"163",10100012605
"164",10100012606
"165",10100012607
"166",10100012608
"167",10100012609
"168",10100012701
"169",10100012702
"170",10100012801
"171",10100012802
"172",10100012803
"173",10100012804
"174",10100012805
"175",10100020101
"176",10100020102
"177",10100020103
"178",10100020104
"179",10100020105
"180",10100020201
"181",10100020202
"182",10100020203
"183",10100020204
"184",10100020301
"185",10100020302
"186",10100020303
"187",10100020304
"188",10100020305
"189",10100020306
"190",10100020307
"191",10100020308
"192",10100020401
"193",10100020402
"194",10100020403
"195",10100020404
"196",10100020405
"197",10100020406
"198",10100020501
"199",10100020502
"200",10100020503
"201",10100020504
"202",10100020505
"203",10100020601
"204",10100020602
"205",10100020701
"206",10100020702
"207",10100020703
"208",10100020704
"209",10100020705
"210",10100020706
"211",10100020707
"212",10100020708
"213",10100020709
"214",10100020710
"215",10100020711
"216",10100030101
"217",10100030102
"218",10100030103
"219",10100030104
"220",10100030105
"221",10100030201
"222",10100030202
"223",10100030203
"224",10100030204
"225",10100030205
"226",10100030206
"227",10100030207
"228",10100030301
"229",10100030302
"230",10100030303
"231",10100030304
"232",10100030305
"233",10100030306
"234",10100030307
"235",10100030308
"236",10100030309
"237",10100030310
"238",10100030401
"239",10100030402
"240",10100030403
"241",10100040101
"242",10100040102
"243",10100040103
"244",10100040104
"245",10100040201
"246",10100040202
"247",10100040203
"248",10100040301
"249",10100040302
"250",10100040303
"251",10100040304
"252",10100040305
"253",10100040306
"254",10100040401
"255",10100040402
"256",10100040501
"257",10100040502
"258",10100040503
"259",10100040504
"260",10100040505
"261",10100040506
"262",10100040601
"263",10100040602
"264",10100040603
"265",10100040604
"266",10100040605
"267",10100040606
"268",10100040701
"269",10100040702
"270",10100040703
"271",10100040801
"272",10100040802
"273",10100040803
"274",10100040804
"275",10100040805
"276",10100040901
"277",10100040902
"278",10100040903
"279",10100040904
"280",10100040905
"281",10100040906
"282",10100040907
"283",10100040908
"284",10100040909
"285",10100041001
"286",10100041002
"287",10100041003
"288",10100041004
"289",10100041005
"290",10100041006
"291",10100041007
"292",10100041008
"293",10100041009
"294",10100041101
"295",10100041102
"296",10100041103
"297",10100041104
"298",10100041105
"299",10100041106
"300",10100041107
"301",10100041108
"302",10100041109
"303",10100041110
"304",10100041111
"305",10100041112
"306",10100041113
"307",10100050101
"308",10100050102
"309",10100050103
"310",10100050104
"311",10100050105
"312",10100050106
"313",10100050107
"314",10100050201
"315",10100050202
"316",10100050301
"317",10100050302
"318",10100050303
"319",10100050401
"320",10100050402
"321",10100050403
"322",10100050404
"323",10100050405
"324",10100050406
"325",10100050407
"326",10100050408
"327",10200010101
"328",10200010102
"329",10200010103
"330",10200010104
"331",10200010105
"332",10200010106
"333",10200010201
"334",10200010202
"335",10200010203
"336",10200010204
"337",10200010205
"338",10200010206
"339",10200010207
"340",10200010208
"341",10200010209
"342",10200010210
"343",10200010301
"344",10200010302
"345",10200010303
"346",10200010304
