"","SUM_INDGAL","HUC_12","IWD_MGAL"
"1",53232,10100011003,0.053232
"2",133080,10100011005,0.13308
"3",26616,10100011303,0.026616
"4",452472,10100011404,0.452472
"5",159696,10100011507,0.159696
"6",346008,10100011508,0.346008
"7",186312,10100012601,0.186312
"8",106464,10100012603,0.106464
"9",133080,10100012604,0.13308
"10",53232,10100012605,0.053232
"11",53232,10100012607,0.053232
"12",26616,10100012701,0.026616
"13",159696,10100020711,0.159696
"14",53232,10100030202,0.053232
"15",53232,10100030203,0.053232
"16",212928,10100030206,0.212928
"17",53232,10100030302,0.053232
"18",26616,10100030304,0.026616
"19",79848,10100030310,0.079848
"20",53232,10100030401,0.053232
"21",79848,10100030402,0.079848
"22",479088,10100030403,0.479088
"23",26616,10100040606,0.026616
"24",79848,10100040901,0.079848
"25",26616,10100040903,0.026616
"26",452472,10100040904,0.452472
"27",53232,10100040909,0.053232
"28",106464,10100041001,0.106464
"29",53232,10100041007,0.053232
"30",931560,10100041008,0.93156
"31",399240,10100041009,0.39924
"32",372624,10100041101,0.372624
"33",133080,10100041102,0.13308
"34",53232,10100041108,0.053232
"35",79848,10100041109,0.079848
"36",26616,10100041110,0.026616
"37",79848,10100041112,0.079848
"38",479088,10100041113,0.479088
"39",212928,10100050101,0.212928
"40",79848,10100050103,0.079848
"41",53232,10100050104,0.053232
"42",106464,10100050105,0.106464
"43",53232,10100050201,0.053232
"44",133080,10100050202,0.13308
"45",26616,10100050302,0.026616
"46",133080,10100050402,0.13308
"47",133080,10100050403,0.13308
"48",26616,10100050404,0.026616
"49",53232,10100050405,0.053232
"50",26616,10100050406,0.026616
"51",425856,10100050407,0.425856
"52",4592,10200010904,0.004592
"53",746382,10200011005,0.746382
"54",459312,10200011007,0.459312
"55",114828,10200020504,0.114828
"56",172242,10200020507,0.172242
"57",319392,10200030103,0.319392
"58",114828,10200030105,0.114828
"59",1029270,10200030107,1.02927
"60",79848,10200030109,0.079848
"61",79848,10200030110,0.079848
"62",26616,10200030202,0.026616
"63",57414,10200030401,0.057414
"64",2141208,10200030402,2.141208
"65",535302,10200030404,0.535302
"66",53232,10200030504,0.053232
"67",57414,10200030509,0.057414
"68",57414,10200030510,0.057414
"69",84030,10200030602,0.08403
"70",159696,10200030603,0.159696
"71",26616,10200030606,0.026616
"72",79848,10200030607,0.079848
"73",114828,10200030701,0.114828
"74",57414,10200030702,0.057414
"75",172242,10200030703,0.172242
"76",172242,10200030704,0.172242
"77",18368,10200040104,0.018368
"78",9184,10200040105,0.009184
"79",4592,10200040106,0.004592
"80",4592,10200040107,0.004592
"81",50512,10200040111,0.050512
"82",13776,10200040201,0.013776
"83",9184,10200040202,0.009184
"84",78064,10200040203,0.078064
"85",4592,10200040204,0.004592
"86",55104,10200040205,0.055104
"87",18368,10200040301,0.018368
"88",4592,10200040302,0.004592
"89",9184,10200040304,0.009184
"90",13776,10200040305,0.013776
"91",9184,10200040311,0.009184
"92",50512,10200040312,0.050512
"93",9184,10200040409,0.009184
"94",4592,10200040410,0.004592
"95",57414,10200040504,0.057414
"96",62006,10200040601,0.062006
"97",9184,10200040602,0.009184
"98",344484,10200040604,0.344484
"99",57414,10200050101,0.057414
"100",287070,10200050102,0.28707
"101",172242,10200050104,0.172242
"102",688968,10200050201,0.688968
"103",229656,10200050202,0.229656
"104",172242,10200050204,0.172242
"105",459312,10200050205,0.459312
"106",631554,10200050208,0.631554
"107",57414,10200050301,0.057414
"108",57414,10200050308,0.057414
"109",287070,10200050310,0.28707
"110",401898,10200050311,0.401898
"111",172242,10200050401,0.172242
"112",57414,10200050402,0.057414
"113",229656,10200050405,0.229656
"114",172242,10200050407,0.172242
"115",574140,10200050408,0.57414
"116",114828,10200050501,0.114828
"117",114828,10200050502,0.114828
"118",172242,10200050503,0.172242
"119",114828,10200050504,0.114828
"120",229656,10200050505,0.229656
"121",172242,10200050506,0.172242
"122",114828,10200050507,0.114828
"123",114828,10200050509,0.114828
"124",803796,10200050510,0.803796
"125",57414,10200050601,0.057414
"126",229656,10200050602,0.229656
"127",1263108,10200050603,1.263108
"128",229656,10200050702,0.229656
"129",57414,10200050703,0.057414
"130",287070,10200050704,0.28707
"131",344484,10200050705,0.344484
"132",574140,10200050706,0.57414
"133",2985528,10200050707,2.985528
"134",114828,10200050801,0.114828
"135",359586,10200050803,0.359586
"136",344484,10200050804,0.344484
"137",1090866,10200050805,1.090866
"138",40272,10200050901,0.040272
"139",25170,10200050902,0.02517
"140",5034,10200050903,0.005034
"141",10068,10200050904,0.010068
"142",15102,10200050905,0.015102
"143",5034,10200050906,0.005034
"144",287070,10200051001,0.28707
"145",344484,10200051002,0.344484
"146",4191222,10200051003,4.191222
"147",142830,10200051004,0.14283
"148",555204,10200051005,0.555204
"149",85416,10200051006,0.085416
"150",732468,10200051007,0.732468
"151",298956,10200051008,0.298956
