"","HUC12","ReptSpcNum"
"1",30902030300,56
"2",121102080900,60
"3",121102080100,55
"4",121102080600,55
"5",121102080700,57
"6",121102080800,62
"7",30902030100,62
"8",130900010705,49
"9",130900010605,48
"10",130900010706,50
"11",130900010606,50
"12",121102080300,64
"13",130900010704,49
"14",130900010106,48
"15",130900010604,49
"16",130900010103,48
"17",130900010703,49
"18",130900010105,48
"19",130900010601,49
"20",121102080200,53
"21",130900010502,49
"22",130900010501,49
"23",30902061608,61
"24",130900010603,49
"25",30902061609,65
"26",121102081000,58
"27",121102080400,55
"28",130900010701,50
"29",130900010702,50
"30",130900010104,49
"31",30902061607,67
"32",121102080500,58
"33",121102070002,54
"34",121102070001,50
"35",130900010402,49
"36",130900010101,48
"37",130900010204,49
"38",30902061606,59
"39",130900010602,50
"40",130900010102,48
"41",130900010403,50
"42",130900010401,49
"43",30902021400,57
"44",121102070004,50
"45",121102070003,49
"46",30902061605,69
"47",130900010202,49
"48",130800030708,48
"49",130800030707,49
"50",130900010303,50
"51",30902061604,69
"52",130900010203,49
"53",121102070006,56
"54",121102070005,50
"55",30902061602,70
"56",130800030704,49
"57",130900010302,51
"58",121102070007,51
"59",130800030706,48
"60",30902061601,71
"61",130900010304,51
"62",121102070008,50
"63",30902041100,57
"64",130800030604,48
"65",130800030705,49
"66",30902021300,64
"67",30902061603,62
"68",130800030703,48
"69",121102070009,54
"70",130800030702,50
"71",130800030701,50
"72",121102070011,52
"73",121102070010,52
"74",30902061701,74
"75",130900010201,52
"76",130800030603,48
"77",130900010301,50
"78",130800030405,48
"79",130800030602,48
"80",130800030403,50
"81",121102070013,58
"82",121102070012,50
"83",130800030402,49
"84",130800030505,47
"85",30902040305,52
"86",30902040406,52
"87",130800030406,48
"88",30902061500,72
"89",130800030404,49
"90",30902061404,72
"91",130800030601,47
"92",30902061405,71
"93",130800030309,48
"94",30902040602,54
"95",30902040304,51
"96",30902040800,59
"97",30902040700,56
"98",121102070015,53
"99",121102070014,51
"100",30902040603,56
"101",30902061403,72
"102",130800030310,48
"103",130800030504,47
"104",121102070023,55
"105",121102070020,51
"106",130800030308,49
"107",130800030502,48
"108",130800030401,49
"109",121102070017,53
"110",30902040303,50
"111",121102070018,57
"112",30902040601,55
"113",121102070022,49
"114",30902040404,52
"115",30902061401,65
"116",121102070019,48
"117",130800030307,50
"118",30902061402,71
"119",121102060501,54
"120",121102060406,50
"121",30902040504,59
"122",30902040906,51
"123",121102060502,56
"124",121102060405,50
"125",130800030503,48
"126",30902040403,52
"127",130800030306,48
"128",30902040503,54
"129",30902040405,52
"130",130800030501,48
"131",30902040502,52
"132",121102060403,49
"133",130800030303,49
"134",121102050706,59
"135",121102070021,62
"136",130800030305,50
"137",121102060404,49
"138",121102050407,57
"139",121102050807,62
"140",121102060304,50
"141",30902040208,58
"142",30902061205,70
"143",121102060206,49
"144",121102060202,49
"145",30902061204,63
"146",30902040302,52
"147",30902021200,54
"148",30902040207,52
"149",121102050705,59
"150",130800030302,51
"151",121102050403,56
"152",121102060402,49
"153",121102060205,49
"154",121102050406,59
"155",121102060401,49
"156",30902061203,69
"157",130800030205,50
"158",30902040501,53
"159",30902040402,53
"160",121102060203,47
"161",30902040905,51
"162",130800030207,49
"163",130800030304,50
"164",30902021000,49
"165",30902040401,52
"166",121102050703,61
"167",30902040106,61
"168",121102060201,49
"169",121102060302,49
"170",121102050404,57
"171",121102050405,57
"172",130800030301,52
"173",121102050402,56
"174",130800030210,49
"175",121102060303,51
"176",130800030202,50
"177",121102060105,49
"178",121102050702,61
"179",30902020601,59
"180",30902040206,56
"181",130800030201,50
"182",30902040105,61
"183",30902040301,51
"184",30902061202,67
"185",121102060301,46
"186",121102050105,58
"187",130800030203,50
"188",30902040203,47
"189",121102050806,63
"190",30902040904,49
"191",121102060103,50
"192",121102060204,48
"193",130800030204,49
"194",130800030209,49
"195",30902041000,56
"196",121102050106,61
"197",121102050704,59
"198",121102050307,48
"199",30902040205,55
"200",121102050305,48
"201",30902021100,57
"202",121102060104,49
"203",121102050805,60
"204",121102050401,54
"205",130800030106,50
"206",30902040202,47
"207",121102060102,50
"208",121102050701,59
"209",30902040204,54
"210",30902020800,47
"211",130800030107,50
"212",30902061201,67
"213",30902020900,47
"214",130800020707,49
"215",130800030206,49
"216",30902040903,47
"217",30902040104,55
"218",121102040206,60
"219",121102050204,49
"220",121102050304,48
"221",130800020706,50
"222",121102050103,54
"223",121102050804,63
"224",30902040103,61
"225",30902020402,40
"226",121102050104,56
"227",30902040201,48
"228",30902040902,48
"229",130800030105,50
"230",130800030208,49
"231",121102040204,57
"232",121102050303,47
"233",121102060101,49
"234",31001030105,61
"235",30902020401,40
"236",121102050102,52
"237",30902040102,61
"238",121102050802,59
"239",121102040203,57
"240",30902050405,50
"241",121102050306,49
"242",30902040101,57
"243",121102050101,51
"244",121102040205,60
"245",130800030104,50
"246",130800030103,50
"247",130800020705,49
"248",30902040901,48
"249",30902020600,52
"250",30902050604,55
"251",121102050302,48
"252",121102050801,59
"253",130800030101,50
"254",121102040103,50
"255",121102050203,49
"256",30902050606,60
"257",121102050301,49
"258",121102040109,55
"259",130800030102,50
"260",121102050608,59
"261",30902061100,66
"262",121102050202,50
"263",121102050605,61
"264",30902050406,50
"265",121102020105,61
"266",121102040408,61
"267",121102040108,52
"268",130800020702,49
"269",30902050605,55
"270",30902050607,59
"271",121102040406,58
"272",121102040407,61
"273",31001030104,61
"274",121102030000,68
"275",121102040409,61
"276",121102050201,50
"277",130800020703,50
"278",121102040105,50
"279",30902050603,60
"280",30902050402,48
"281",121102040107,53
"282",30902061101,66
"283",121102040201,56
"284",30902020700,47
"285",121102020104,63
"286",121102050607,59
"287",121102050604,60
"288",121101050701,49
"289",121102040102,49
"290",121102040202,56
"291",121101050702,50
"292",121102050606,58
"293",121102040405,58
"294",130800020605,48
"295",121102040106,50
"296",30902020300,47
"297",121102040104,50
"298",121101050703,50
"299",121101050801,48
"300",121101050802,48
"301",130800020704,50
"302",31001030103,63
"303",121102050602,60
"304",30902050601,57
"305",30902050407,51
"306",121102020106,67
"307",130800020408,48
"308",121101050804,51
"309",121102020103,63
"310",30902061001,64
"311",30902050408,53
"312",121102040304,53
"313",121102040101,50
"314",31002010303,58
"315",30902050201,47
"316",31001030102,57
"317",30902050301,48
"318",130800020701,50
"319",30902050206,48
"320",31001030201,60
"321",121102050603,59
"322",30902020500,59
"323",121102040303,51
"324",121101050601,50
"325",121102040404,58
"326",121102020107,62
"327",121102020102,61
"328",30902050404,50
"329",31001030101,56
"330",121102040310,53
"331",30902050303,48
"332",30902050602,58
"333",121101050602,51
"334",130800020604,51
"335",121101050401,51
"336",121102020101,60
"337",121102040309,53
"338",31002010302,57
"339",121102050601,60
"340",121101050803,49
"341",121102010005,66
"342",121101050806,49
"343",121102040308,51
"344",121101050805,50
"345",121102010004,63
"346",121102050506,60
"347",30902050502,54
"348",121102040301,51
"349",121101050705,48
"350",130800020406,47
"351",121101050603,49
"352",121101110707,61
"353",31001011108,54
"354",121101050402,51
"355",121102040307,51
"356",121101050704,49
"357",30902050304,48
"358",30902020200,49
"359",30902050501,50
"360",31001011105,54
"361",31002010301,57
"362",30902050203,49
"363",121102040403,57
"364",30902050101,42
"365",31001020506,54
"366",121102050504,59
"367",130800020603,48
"368",121102010003,66
"369",121101050404,51
"370",31001011103,49
"371",130800020602,51
"372",30902050204,50
"373",30902050302,49
"374",30902050205,49
"375",30902060900,64
"376",30902050403,50
"377",121102050503,57
"378",121102010002,63
"379",30902050401,49
"380",130800020407,48
"381",31001011107,55
"382",121102010001,62
"383",121101050807,48
"384",130800020404,47
"385",121102040302,51
"386",121101050808,50
"387",121101050604,49
"388",31002010205,56
"389",31001011102,52
"390",31001020505,51
"391",30902050202,49
"392",121102040306,52
"393",121101110705,60
"394",121101050706,48
"395",31001011101,50
"396",121102040402,54
"397",31001011106,51
"398",121101050405,51
"399",130800020405,48
"400",121101050403,50
"401",121102050502,55
"402",121102050505,58
"403",30901030202,49
"404",121101050605,47
"405",121101050501,51
"406",121101110704,59
"407",130800020601,51
"408",30902050102,42
"409",121101051001,50
"410",30902060801,60
"411",121101051002,50
"412",130800020403,46
"413",121004070302,62
"414",121102050501,55
"415",121101050406,51
"416",31001020403,50
"417",30902020100,56
"418",121102040401,55
"419",31001020401,52
"420",121101110703,56
"421",31001011004,49
"422",31001011104,50
"423",121101110503,53
"424",121101110706,59
"425",121101050707,49
"426",30901030206,50
"427",121101050505,49
"428",30901030203,50
"429",30902060802,64
"430",121004070403,63
"431",121102040305,53
"432",121101110604,55
"433",31001020303,52
"434",121101050502,50
"435",121004070301,62
"436",31001010906,50
"437",130800020402,47
"438",31001020404,50
"439",30901030204,52
"440",130800020505,51
"441",130800020503,50
"442",130800020504,50
"443",31001010907,50
"444",121004050203,65
"445",121101110605,56
"446",121004070304,62
"447",121101050708,49
"448",121101050504,50
"449",31001020301,50
"450",30901030304,50
"451",121101050503,50
"452",31001011003,49
"453",121004070305,61
"454",121101110701,56
"455",121101110504,53
"456",30902010100,57
"457",30902060700,63
"458",121101050809,51
"459",121101050905,50
"460",130800020307,47
"461",121101051004,50
"462",30901030201,54
"463",121101050709,49
"464",121004070404,62
"465",31001020504,51
"466",121101050506,49
"467",121004070303,62
"468",130800020502,50
"469",31001010903,48
"470",31002010204,56
"471",121004050204,67
"472",121101110501,51
"473",31001020402,51
"474",30901030205,56
"475",130800020501,50
"476",121101110505,56
"477",121101110502,54
"478",121004070402,62
"479",31001011006,47
"480",121101050906,50
"481",121101050302,50
"482",121101050301,50
"483",121101050507,48
"484",30901030305,50
"485",121101110402,53
"486",31001020302,51
"487",31001010905,48
"488",31001010807,50
"489",30902060603,63
"490",31002010202,56
"491",121101110403,52
"492",31001020201,49
"493",121101051003,49
"494",130800020401,49
"495",30901030104,51
"496",31001020204,51
"497",121004050202,65
"498",121101051103,49
"499",121101110603,55
"500",31001020503,49
"501",121101110405,54
"502",30901030105,55
"503",121101050303,50
"504",121101051005,48
"505",31001011002,49
"506",130800020306,49
"507",121101110401,53
"508",130800020305,48
"509",121101110702,56
"510",121101110404,51
"511",30902060602,62
"512",121004070201,61
"513",121101030502,50
"514",31001020502,49
"515",30901030303,52
"516",31001010902,48
"517",121004070401,62
"518",121101050305,47
"519",121101110601,53
"520",121101050101,52
"521",30901030302,57
"522",31001020501,49
"523",121101050304,49
"524",121004060307,66
"525",30901030103,49
"526",121101050902,51
"527",121101030501,50
"528",130800020301,48
"529",121004070202,61
"530",121101051006,49
"531",31002010203,55
"532",121004050307,71
"533",31001020203,51
"534",121004050201,66
"535",30901012103,51
"536",121101050903,48
"537",121101051201,49
"538",121101050102,52
"539",121004050308,71
"540",31001011005,47
"541",130800020304,49
"542",31001020202,49
"543",121004050103,70
"544",30901030404,55
"545",31001011001,49
"546",121004070203,62
"547",30902060401,55
"548",31001010806,50
"549",30901030102,56
"550",121101110602,53
"551",121004060303,63
"552",31001010804,49
"553",121101051104,50
"554",30902060601,63
"555",121101050904,49
"556",121101050207,47
"557",121004050306,69
"558",30901020303,53
"559",121004070105,56
"560",121101030503,51
"561",30901030403,54
